Rank,Name,Net Worth $B,Age,Country/Territory,Source,Industries
27,FRANÇOIS PINAULT & FAMILY,27,83.0,France,luxury goods,Fashion & Retail
28,SHELDON ADELSON,26.8,86.0,United States,casinos,Gambling & Casinos
29,JACQUELINE MARS,24.7,80.0,United States,"candy, pet food",Food & Beverage
29,JOHN MARS,24.7,84.0,United States,"candy, pet food",Food & Beverage
31,ELON MUSK,24.6,48.0,United States,"Tesla, SpaceX",Automotive
32,GIOVANNI FERRERO,24.5,55.0,Italy,"Nutella, chocolates",Food & Beverage
33,MICHAEL DELL,22.9,55.0,United States,Dell computers,Technology
34,HUI KA YAN,21.8,61.0,China,real estate,Real Estate
35,LI KA-SHING,21.7,91.0,Hong Kong,diversified,Diversified
36,HE XIANGJIAN,21.6,77.0,China,home appliances,Manufacturing
36,JIM SIMONS,21.6,81.0,United States,hedge funds,Finance & Investments
38,YANG HUIYAN & FAMILY,20.3,38.0,China,real estate,Real Estate
39,JOSEPH SAFRA,19.9,81.0,Brazil,banking,Finance & Investments
40,DIETER SCHWARZ,19.8,80.0,Germany,retail,Fashion & Retail
41,VLADIMIR POTANIN,19.7,59.0,Russia,metals,Metals & Mining
41,TADASHI YANAI & FAMILY,19.7,71.0,Japan,fashion retail,Fashion & Retail
43,QIN YINGLIN & FAMILY,18.5,54.0,China,pig breeding,Food & Beverage
44,LUKAS WALTON,18.4,33.0,United States,Walmart,Fashion & Retail
45,VLADIMIR LISIN,18.1,63.0,Russia,"steel, transport",Metals & Mining
46,RAY DALIO,18,70.0,United States,hedge funds,Finance & Investments
47,TAKEMITSU TAKIZAKI,17.4,74.0,Japan,sensors,Manufacturing
48,LEONID MIKHELSON,17.1,64.0,Russia,"gas, chemicals",Energy
48,ALAIN WERTHEIMER,17.1,71.0,France,Chanel,Fashion & Retail
48,GERARD WERTHEIMER,17.1,69.0,France,Chanel,Fashion & Retail
51,"THEO ALBRECHT, JR. & FAMILY",17,69.0,Germany,"Aldi, Trader Joe's",Fashion & Retail
51,LEN BLAVATNIK,17,62.0,United States,diversified,Diversified
51,WILLIAM LEI DING,17,48.0,China,online games,Technology
54,SUSANNE KLATTEN,16.8,57.0,Germany,"BMW, pharmaceuticals",Automotive
54,ALEXEY MORDASHOV & FAMILY,16.8,54.0,Russia,"steel, investments",Metals & Mining
56,MASAYOSHI SON,16.6,62.0,Japan,"internet, telecom",Telecom
57,COLIN ZHENG HUANG,16.5,40.0,China,e-commerce,Technology
57,DIETRICH MATESCHITZ,16.5,75.0,Austria,Red Bull,Food & Beverage
59,JOSEPH LAU,16.4,68.0,Hong Kong,real estate,Real Estate
59,LAURENE POWELL JOBS & FAMILY,16.4,56.0,United States,"Apple, Disney",Technology
61,ZHANG YIMING,16.2,36.0,China,software,Technology
62,LEONARDO DEL VECCHIO & FAMILY,16.1,84.0,Italy,eyeglasses,Fashion & Retail
63,DONALD BREN,15.5,87.0,United States,real estate,Real Estate
64,STEPHEN SCHWARZMAN,15.4,73.0,United States,investments,Finance & Investments
65,VAGIT ALEKPEROV,15.2,69.0,Russia,oil,Energy
65,LEE MAN TAT,15.2,90.0,Hong Kong,food,Food & Beverage
65,WANG WEI,15.2,50.0,China,package delivery,Service
68,PETR KELLNER,14.9,55.0,Czechia,"finance, telecommunications",Finance & Investments
68,RUPERT MURDOCH & FAMILY,14.9,89.0,United States,"newspapers, TV network",Media & Entertainment
70,LEONARD LAUDER,14.6,83.0,United States,Estee Lauder,Fashion & Retail
70,ZHONG HUIJUAN,14.6,59.0,China,pharmaceuticals,Healthcare
72,GENNADY TIMCHENKO,14.4,67.0,Russia,"oil, gas",Energy
73,THOMAS PETERFFY,14.3,75.0,United States,discount brokerage,Finance & Investments
74,KLAUS-MICHAEL KUEHNE,14.2,82.0,Germany,shipping,Logistics
75,LEE KUN-HEE,14.1,78.0,South Korea,Samsung,Diversified
76,WANG JIANLIN,14,65.0,China,real estate,Real Estate
77,STEVE COHEN,13.9,63.0,United States,hedge funds,Finance & Investments
78,RADHAKISHAN DAMANI & FAMILY,13.8,65.0,India,"retail, investments",Fashion & Retail
78,CARL ICAHN,13.8,84.0,United States,investments,Finance & Investments
80,R. BUDI HARTONO,13.6,79.0,Indonesia,"banking, tobacco",Finance & Investments
81,DHANIN CHEARAVANONT,13.5,80.0,Thailand,diversified,Diversified
81,STEFAN PERSSON,13.5,72.0,Sweden,H&M,Fashion & Retail
83,ALISHER USMANOV,13.4,66.0,Russia,"steel, telecom, investments",Metals & Mining
84,ERIC SCHMIDT,13.2,64.0,United States,Google,Technology
85,GINA RINEHART,13.1,66.0,Australia,mining,Metals & Mining
86,WALTER P.J. DROEGE,13,67.0,Germany,consulting,Service
86,MIKHAIL FRIDMAN,13,55.0,Russia,"oil, banking, telecom",Energy
86,MICHAEL HARTONO,13,80.0,Indonesia,"banking, tobacco",Manufacturing
86,DIETMAR HOPP & FAMILY,13,79.0,Germany,software,Technology
86,ZHANG ZHIDONG,13,48.0,China,internet media,Technology
91,HINDUJA BROTHERS,12.9,,United Kingdom,diversified,Diversified
91,HEINZ HERMANN THIELE & FAMILY,12.9,79.0,Germany,brakes,Construction & Engineering
93,CHARLENE DE CARVALHO-HEINEKEN & FAMILY,12.8,65.0,Netherlands,Heineken,Food & Beverage
94,EMMANUEL BESNIER,12.7,49.0,France,cheese,Food & Beverage
95,ANDREY MELNICHENKO,12.5,48.0,Russia,"coal, fertilizers",Energy
96,LI SHUFU,12.4,56.0,China,automobiles,Automotive
96,HASSO PLATTNER & FAMILY,12.4,76.0,Germany,software,Technology
98,LIU YONGHAO & FAMILY,12.3,68.0,China,agribusiness,Service
98,STEFAN QUANDT,12.3,53.0,Germany,BMW,Automotive
100,KEN GRIFFIN,12.1,51.0,United States,hedge funds,Finance & Investments
101,DAVID TEPPER,12,62.0,United States,hedge funds,Finance & Investments
101,WU YAJUN & FAMILY,12,56.0,China,real estate,Real Estate
103,KWONG SIU-HING,11.9,90.0,Hong Kong,real estate,Real Estate
103,SHIV NADAR,11.9,74.0,India,software services,Technology
105,SUN PIAOYANG,11.8,61.0,China,pharmaceuticals,Healthcare
106,LUI CHE WOO & FAMILY,11.7,91.0,Hong Kong,casinos/hotels,Gambling & Casinos
106,RICARDO SALINAS PLIEGO & FAMILY,11.7,64.0,Mexico,"retail, media",Fashion & Retail
108,LI XITING,11.6,69.0,Singapore,medical devices,Healthcare
108,REINHOLD WUERTH & FAMILY,11.6,84.0,Germany,fasteners,Manufacturing
110,"JOHN MENARD, JR.",11.5,80.0,United States,home improvement stores,Fashion & Retail
110,PANG KANG,11.5,64.0,China,soy sauce,Food & Beverage
110,PETER WOO,11.5,73.0,Hong Kong,real estate,Real Estate
113,ROMAN ABRAMOVICH,11.3,53.0,Russia,"steel, investments",Diversified
113,UDO & HARALD TSCHIRA,11.3,,Germany,software,Technology
115,MIKHAIL PROKHOROV,11.2,54.0,Russia,investments,Finance & Investments
115,XU HANG,11.2,53.0,Hong Kong,medical devices,Healthcare
117,PALLONJI MISTRY,11.1,90.0,Ireland,construction,Construction & Engineering
118,PHILIP ANSCHUTZ,11,80.0,United States,investments,Finance & Investments
118,GERMAN LARREA MOTA VELASCO & FAMILY,11,66.0,Mexico,mining,Metals & Mining
118,PIERRE OMIDYAR,11,52.0,United States,"eBay, PayPal",Technology
118,JAMES RATCLIFFE,11,67.0,United Kingdom,chemicals,Manufacturing
118,ZHANG YONG,11,49.0,Singapore,restaurants,Food & Beverage
123,ROBERT & PHILIP NG,10.9,,Singapore,real estate,Real Estate
124,IRIS FONTBONA & FAMILY,10.8,77.0,Chile,mining,Metals & Mining
124,ABIGAIL JOHNSON,10.8,58.0,United States,money management,Finance & Investments
124,DONALD NEWHOUSE,10.8,90.0,United States,media,Media & Entertainment
127,GRAEME HART,10.5,64.0,New Zealand,investments,Finance & Investments
127,VIKTOR VEKSELBERG,10.5,62.0,Russia,"metals, energy",Energy
129,GOH CHENG LIANG,10.4,92.0,Singapore,paints,Manufacturing
129,UDAY KOTAK,10.4,61.0,India,banking,Finance & Investments
129,JORGE PAULO LEMANN & FAMILY,10.4,80.0,Brazil,beer,Food & Beverage
132,JORN RAUSING,10.3,60.0,Sweden,packaging,Food & Beverage
133,HANK & DOUG MEIJER,10.2,,United States,supermarkets,Fashion & Retail
133,STEFANO PESSINA,10.2,78.0,Italy,drugstores,Fashion & Retail
135,SULEIMAN KERIMOV & FAMILY,10,54.0,Russia,investments,Finance & Investments
135,STANLEY KROENKE,10,72.0,United States,"sports, real estate",Sports
135,JOSEPH TSAI,10,56.0,Canada,e-commerce,Technology
138,GORDON MOORE,9.8,91.0,United States,Intel,Technology
139,JAN KOUM,9.7,44.0,United States,WhatsApp,Technology
139,ROBIN ZENG,9.7,51.0,Hong Kong,batteries,Energy
141,JOHN FREDRIKSEN,9.6,75.0,Cyprus,shipping,Logistics
141,ROBERT KUOK,9.6,96.0,Malaysia,"palm oil, shipping, property",Diversified
141,ANDREAS STRUENGMANN & FAMILY,9.6,70.0,Germany,pharmaceuticals,Healthcare
141,THOMAS STRUENGMANN & FAMILY,9.6,70.0,Germany,pharmaceuticals,Healthcare
145,HUI WING MAU,9.5,69.0,Hong Kong,real estate,Real Estate
146,DUSTIN MOSKOVITZ,9.3,35.0,United States,Facebook,Technology
147,LEI JUN,9.2,50.0,China,smartphones,Technology
147,QUEK LENG CHAN,9.2,78.0,Malaysia,"banking, property",Diversified
147,SUN HONGBIN,9.2,57.0,United States,real estate,Real Estate
150,FINN RAUSING,9.1,65.0,Sweden,packaging,Food & Beverage
150,KIRSTEN RAUSING,9.1,67.0,Sweden,packaging,Food & Beverage
150,CHAROEN SIRIVADHANABHAKDI,9.1,75.0,Thailand,"alcohol, real estate",Food & Beverage
153,STEWART AND LYNDA RESNICK,9,,United States,"agriculture, water",Food & Beverage
153,LUIS CARLOS SARMIENTO,9,87.0,Colombia,banking,Finance & Investments
155,GAUTAM ADANI,8.9,57.0,India,"commodities, ports",Diversified
155,CHRISTY WALTON,8.9,71.0,United States,Walmart,Fashion & Retail
157,SUNIL MITTAL & FAMILY,8.8,62.0,India,telecom,Telecom
157,ZHANG BANGXIN,8.8,40.0,China,education,Service
159,ANTHONY PRATT,8.7,59.0,Australia,manufacturing,Manufacturing
160,GERMAN KHAN,8.5,58.0,Russia,"oil, banking, telecom",Energy
161,EDUARDO SAVERIN,8.4,38.0,Brazil,Facebook,Technology
162,ALIKO DANGOTE,8.3,62.0,Nigeria,"cement, sugar",Manufacturing
162,GEORGE SOROS,8.3,89.0,United States,hedge funds,Finance & Investments
162,ZONG QINGHOU,8.3,74.0,China,beverages,Food & Beverage
165,RICHARD QIANGDONG LIU,8.2,46.0,China,e-commerce,Technology
165,FRIEDHELM LOH,8.2,73.0,Germany,manufacturing,Manufacturing
165,LU ZHONGFANG,8.2,77.0,China,education,Automotive
165,CYRUS POONAWALLA,8.2,78.0,India,vaccines,Healthcare
169,ERNESTO BERTARELLI,8,54.0,Switzerland,"biotech, investments",Healthcare
169,MIKE CANNON-BROOKES,8,40.0,Australia,software,Technology
169,CARL COOK,8,57.0,United States,medical devices,Healthcare
169,SCOTT FARQUHAR,8,40.0,Australia,software,Technology
169,GONG HONGJIA & FAMILY,8,55.0,Hong Kong,video surveillance,Finance & Investments
169,JERRY JONES,8,77.0,United States,Dallas Cowboys,Sports
169,MICHAEL PLATT,8,52.0,United Kingdom,hedge funds,Finance & Investments
169,ANDERS HOLCH POVLSEN,8,47.0,Denmark,fashion retail,Fashion & Retail
169,ERIC WITTOUCK,8,73.0,Belgium,Investments,Finance & Investments
169,XU SHIHUI,8,62.0,China,"snacks, beverages",Food & Beverage
179,ANDREW BEAL,7.9,67.0,United States,"banks, real estate",Finance & Investments
179,ANN WALTON KROENKE,7.9,71.0,United States,Walmart,Fashion & Retail
179,WANG WENYIN,7.9,52.0,China,"mining, copper products",Metals & Mining
179,ZHANG FAN,7.9,54.0,China,touch screens,Technology
183,SHAHID KHAN,7.8,69.0,United States,auto parts,Automotive
184,ZHANG JINDONG,7.7,57.0,China,appliance retailer,Fashion & Retail
185,KUMAR BIRLA,7.6,52.0,India,commodities,Diversified
185,CHEN BANG,7.6,54.0,China,hospitals,Healthcare
185,DAVID GEFFEN,7.6,77.0,United States,"movies, record labels",Media & Entertainment
185,JIANG RENSHENG & FAMILY,7.6,66.0,China,vaccines,Healthcare
185,JIM KENNEDY,7.6,72.0,United States,"media, automotive",Media & Entertainment
185,BLAIR PARRY-OKEDEN,7.6,69.0,United States,"media, automotive",Media & Entertainment
185,STEPHEN ROSS,7.6,79.0,United States,real estate,Real Estate
185,AUGUST VON FINCK,7.6,90.0,Germany,investments,Finance & Investments
193,DAVID DUFFIELD,7.5,79.0,United States,business software,Technology
193,"THOMAS FRIST, JR. & FAMILY",7.5,81.0,United States,hospitals,Healthcare
193,EYAL OFER,7.5,69.0,Israel,"real estate, shipping",Diversified
196,JOHN GRAYKEN,7.4,63.0,Ireland,private equity,Finance & Investments
196,NIELS PETER LOUIS-HANSEN,7.4,72.0,Denmark,medical devices,Healthcare
196,LAKSHMI MITTAL,7.4,69.0,India,steel,Metals & Mining
196,NICKY OPPENHEIMER & FAMILY,7.4,74.0,South Africa,diamonds,Metals & Mining
200,JOHN DOERR,7.3,68.0,United States,venture capital,Technology
200,MICHAEL KADOORIE,7.3,78.0,Hong Kong,"hotels, energy",Energy
200,VIKTOR RASHNIKOV,7.3,71.0,Russia,steel,Manufacturing
200,DAVID SHAW,7.3,69.0,United States,hedge funds,Finance & Investments
200,TSE PING,7.3,68.0,China,pharmaceuticals,Healthcare
205,ISKANDER MAKHMUDOV,7.2,56.0,Russia,"mining, metals, machinery",Metals & Mining
206,PATRICK DRAHI,7.1,56.0,France,telecom,Telecom
206,NANCY WALTON LAURIE,7.1,68.0,United States,Walmart,Fashion & Retail
208,ROBERT PERA,7,42.0,United States,wireless networking gear,Technology
208,RODOLPHE SAADÉ & FAMILY,7,50.0,France,shipping,Logistics
208,GALEN WESTON & FAMILY,7,79.0,Canada,retail,Fashion & Retail
211,CAI KUI,6.9,57.0,China,real estate,Real Estate
211,DIANE HENDRICKS,6.9,73.0,United States,roofing,Construction & Engineering
211,ROBERT KRAFT,6.9,78.0,United States,New England Patriots,Sports
211,RONALD PERELMAN,6.9,77.0,United States,leveraged buyouts,Finance & Investments
211,ZHOU QUNFEI,6.9,50.0,Hong Kong,smartphone screens,Technology
216,ELI BROAD,6.8,86.0,United States,investments,Finance & Investments
216,DAVID REUBEN,6.8,81.0,United Kingdom,"investments, real estate",Real Estate
216,SIMON REUBEN,6.8,78.0,United Kingdom,"real estate, investments",Diversified
216,J. CHRISTOPHER REYES,6.8,66.0,United States,food distribution,Food & Beverage
216,JUDE REYES,6.8,64.0,United States,food distribution,Food & Beverage
221,ANDREW FORREST,6.7,58.0,Australia,mining,Metals & Mining
221,MA JIANRONG & FAMILY,6.7,56.0,China,"textiles, apparel",Fashion & Retail
221,CHARLES SCHWAB,6.7,82.0,United States,discount brokerage,Finance & Investments
224,LEON BLACK,6.6,68.0,United States,private equity,Finance & Investments
224,FRANCIS CHOI,6.6,72.0,Hong Kong,real estate,Real Estate
224,DANG YANBAO,6.6,47.0,China,coal,Metals & Mining
224,ISRAEL ENGLANDER,6.6,71.0,United States,hedge funds,Finance & Investments
224,MASSIMILIANA LANDINI ALEOTTI & FAMILY,6.6,77.0,Italy,pharmaceuticals,Healthcare
224,DMITRY RYBOLOVLEV,6.6,53.0,Russia,fertilizer,Manufacturing
230,GIANLUIGI & RAFAELA APONTE,6.5,79.0,Switzerland,Shipping,Logistics
230,DANIEL GILBERT,6.5,58.0,United States,Quicken Loans,Finance & Investments
230,JOHANN GRAF,6.5,73.0,Austria,gambling,Gambling & Casinos
230,KEI HOI PANG,6.5,54.0,China,real estate,Real Estate
230,ALEXEI KUZMICHEV,6.5,57.0,Russia,"oil, banking, telecom",Energy
230,TOM & JUDY LOVE,6.5,82.0,United States,retail & gas stations,Fashion & Retail
230,MARCEL HERRMANN TELLES,6.5,70.0,Brazil,beer,Food & Beverage
237,ALBERTO BAILLERES GONZALEZ & FAMILY,6.4,88.0,Mexico,mining,Metals & Mining
237,IAN & RICHARD LIVINGSTONE,6.4,,United Kingdom,real estate,Real Estate
237,PATRICK SOON-SHIONG,6.4,67.0,United States,pharmaceuticals,Healthcare
237,WANG XING,6.4,41.0,China,e-commerce,Technology
241,LEONID FEDUN & FAMILY,6.3,64.0,Russia,oil,Energy
241,DAVID GREEN & FAMILY,6.3,78.0,United States,retail,Fashion & Retail
241,KIM JUNG-JU,6.3,52.0,South Korea,online games,Technology
241,SARATH RATANAVADI,6.3,54.0,Thailand,energy,Energy
241,GEORG SCHAEFFLER,6.3,55.0,Germany,auto parts,Automotive
241,ANDREI SKOCH & FAMILY,6.3,54.0,Russia,steel,Metals & Mining
241,HARRY TRIGUBOFF,6.3,87.0,Australia,real estate,Real Estate
248,MARIJKE MARS,6.2,55.0,United States,"candy, pet food",Food & Beverage
248,PAMELA MARS,6.2,59.0,United States,"candy, pet food",Food & Beverage
248,VALERIE MARS,6.2,61.0,United States,"candy, pet food",Food & Beverage
248,VICTORIA MARS,6.2,63.0,United States,"candy, pet food",Food & Beverage
248,STEF WERTHEIMER & FAMILY,6.2,93.0,Israel,metalworking tools,Manufacturing
253,CEN JUNDA,6.1,55.0,China,pharmaceuticals,Healthcare
253,JAMES GOODNIGHT,6.1,77.0,United States,software,Technology
253,KJELD KIRK KRISTIANSEN,6.1,72.0,Denmark,Lego,Manufacturing
253,SOFIE KIRK KRISTIANSEN,6.1,44.0,Denmark,Lego,Manufacturing
253,THOMAS KIRK KRISTIANSEN,6.1,41.0,Denmark,Lego,Manufacturing
253,LIANG WENGEN,6.1,63.0,China,construction equipment,Manufacturing
253,XAVIER NIEL,6.1,52.0,France,"internet, telecom",Telecom
253,JOHN OVERDECK,6.1,50.0,United States,hedge funds,Finance & Investments
253,AZIM PREMJI,6.1,74.0,India,software services,Technology
253,SEO JUNG-JIN,6.1,62.0,South Korea,biotech,Healthcare
253,DILIP SHANGHVI,6.1,64.0,India,pharmaceuticals,Healthcare
253,DAVID SIEGEL,6.1,58.0,United States,hedge funds,Finance & Investments
253,AGNETE KIRK THINGGAARD,6.1,36.0,Denmark,Lego,Manufacturing
266,FAN HONGWEI & FAMILY,6,53.0,China,petrochemicals,Energy
266,YU RENRONG,6,54.0,China,semiconductors,Manufacturing
268,BENU GOPAL BANGUR,5.9,88.0,India,cement,Manufacturing
268,JAMES DYSON,5.9,72.0,United Kingdom,vacuums,Manufacturing
268,"HERBERT KOHLER, JR. & FAMILY",5.9,81.0,United States,plumbing fixtures,Manufacturing
268,LENG YOUBIN,5.9,51.0,China,dairy,Food & Beverage
268,LIU YONGXING,5.9,71.0,China,diversified,Service
268,ALAIN MERIEUX & FAMILY,5.9,82.0,France,pharmaceuticals,Healthcare
274,MARC BENIOFF,5.8,55.0,United States,business software,Technology
274,CHAN LAIWA & FAMILY,5.8,79.0,China,real estate,Real Estate
274,JOHN MALONE,5.8,79.0,United States,cable television,Media & Entertainment
274,FREDERIK PAULSEN,5.8,69.0,Sweden,health care,Healthcare
274,STEVEN RALES,5.8,69.0,United States,manufacturing,Manufacturing
274,YAO ZHENHUA & FAMILY,5.8,50.0,China,conglomerate,Diversified
280,TOM GORES,5.7,55.0,United States,private equity,Finance & Investments
280,RALPH LAUREN,5.7,80.0,United States,apparel,Fashion & Retail
280,RUAN LIPING,5.7,56.0,Hong Kong,power strips,Manufacturing
280,RUAN XUEPING,5.7,48.0,Hong Kong,power strip,Manufacturing
280,ANDREAS VON BECHTOLSHEIM & FAMILY,5.7,64.0,Germany,Google,Technology
280,WANG WENJING,5.7,55.0,China,business software,Technology
286,MIKE ADENUGA,5.6,66.0,Nigeria,"telecom, oil",Diversified
286,MARIA ASUNCION ARAMBURUZABALA & FAMILY,5.6,56.0,Mexico,"beer, investments",Food & Beverage
286,GEORGE KAISER,5.6,77.0,United States,"oil & gas, banking",Energy
286,LAW KAR PO,5.6,71.0,Hong Kong,real estate,Real Estate
286,PHAM NHAT VUONG,5.6,51.0,Vietnam,diversified,Diversified
286,MELKER SCHORLING & FAMILY,5.6,72.0,Sweden,investments,Finance & Investments
286,MANUEL VILLAR,5.6,70.0,Philippines,real estate,Real Estate
293,ALEXANDER ABRAMOV,5.5,61.0,Russia,"steel, mining",Metals & Mining
293,ANTONIA AX:SON JOHNSON & FAMILY,5.5,76.0,Sweden,diversified,Diversified
293,DAVID CHERITON,5.5,69.0,Canada,Google,Technology
293,TERRY GOU,5.5,69.0,Taiwan,electronics,Technology
293,WOLFGANG MARGUERRE & FAMILY,5.5,78.0,Germany,pharmaceuticals,Healthcare
293,ROBERT MILLER,5.5,86.0,United Kingdom,retail,Fashion & Retail
293,SANDRA ORTEGA MERA,5.5,51.0,Spain,Zara,Fashion & Retail
293,TANG SHING-BOR,5.5,86.0,Hong Kong,real estate,Real Estate
293,DENNIS WASHINGTON,5.5,85.0,United States,"construction, mining",Logistics
293,HANSJOERG WYSS,5.5,85.0,Switzerland,medical devices,Healthcare
293,ERIC YUAN & FAMILY,5.5,50.0,United States,video conferencing,Technology
304,GIORGIO ARMANI,5.4,85.0,Italy,luxury goods,Fashion & Retail
304,CHARLES ERGEN,5.4,67.0,United States,satellite TV,Media & Entertainment
304,"EDWARD JOHNSON, III.",5.4,89.0,United States,money management,Finance & Investments
304,ZENG FANGQIN,5.4,54.0,China,smartphone components,Technology
308,SILVIO BERLUSCONI & FAMILY,5.3,83.0,Italy,media,Diversified
308,LAURENCE GRAFF & FAMILY,5.3,81.0,United Kingdom,diamond jewelry,Fashion & Retail
308,BRUCE KOVNER,5.3,75.0,United States,hedge funds,Finance & Investments
308,LAI MEISONG,5.3,49.0,China,package delivery,Logistics
308,GEORGE ROBERTS,5.3,76.0,United States,private equity,Finance & Investments
308,REINHOLD SCHMIEDING,5.3,65.0,United States,medical devices,Healthcare
308,TSAI ENG-MENG,5.3,63.0,Taiwan,"food, beverages",Food & Beverage
315,CLIVE CALDER,5.2,73.0,United Kingdom,record label,Media & Entertainment
315,RICHARD KINDER,5.2,75.0,United States,pipelines,Energy
315,HENRY KRAVIS,5.2,76.0,United States,private equity,Finance & Investments
315,LIN LI,5.2,56.0,China,investments,Finance & Investments
315,TAKAHISA TAKAHARA,5.2,58.0,Japan,personal care goods,Fashion & Retail
320,MICKY ARISON,5.1,70.0,United States,Carnival Cruises,Service
320,JAMES CHAMBERS,5.1,62.0,United States,"media, automotive",Media & Entertainment
320,KULDIP SINGH & GURBACHAN SINGH DHINGRA,5.1,,India,paints,Manufacturing
320,DU WEIMIN,5.1,56.0,China,vaccines,Healthcare
320,HUANG CHULONG,5.1,61.0,Canada,real estate,Real Estate
320,"PAUL TUDOR JONES, II.",5.1,65.0,United States,hedge funds,Finance & Investments
320,KATHARINE RAYNER,5.1,75.0,United States,"media, automotive",Media & Entertainment
320,MARGARETTA TAYLOR,5.1,77.0,United States,"media, automotive",Media & Entertainment
320,NUSLI WADIA,5.1,76.0,India,consumer goods,Food & Beverage
320,WANG LAICHUN,5.1,52.0,China,electronics components,Technology
330,CHRISTOPHER HOHN,5,53.0,United Kingdom,hedge funds,Finance & Investments
330,BERTIL HULT,5,79.0,Sweden,education,Service
330,KWEE BROTHERS,5,,Singapore,Real Estate,Real Estate
330,JAY Y. LEE,5,51.0,South Korea,Samsung,Diversified
330,LI GE,5,53.0,United States,biotech,Healthcare
330,MAGDALENA MARTULLO-BLOCHER,5,51.0,Switzerland,chemicals,Manufacturing
330,ALEXANDER OTTO,5,52.0,Germany,real estate,Real Estate
330,TERRENCE PEGULA,5,69.0,United States,natural gas,Energy
330,NASSEF SAWIRIS,5,59.0,Egypt,"construction, chemicals",Construction & Engineering
330,ROBERT F. SMITH,5,57.0,United States,private equity,Finance & Investments
330,WANG LAISHENG,5,55.0,China,electronics components,Technology
330,WEE CHO YAW,5,91.0,Singapore,banking,Finance & Investments
330,DANIEL ZIFF,5,48.0,United States,investments,Finance & Investments
330,DIRK ZIFF,5,56.0,United States,investments,Finance & Investments
330,ROBERT ZIFF,5,53.0,United States,investments,Finance & Investments
345,RAHEL BLOCHER,4.9,44.0,Switzerland,chemicals,Manufacturing
345,ROBIN LI,4.9,51.0,China,internet search,Technology
345,KAREN PRITZKER,4.9,62.0,United States,"hotels, investments",Service
345,MARK SCHEINBERG,4.9,46.0,Canada,online gambling,Gambling & Casinos
349,CHEN DONGSHENG,4.8,62.0,China,insurance,Finance & Investments
349,ANDREAS HALVORSEN,4.8,58.0,Norway,hedge funds,Finance & Investments
349,MICHAEL HERZ,4.8,76.0,Germany,coffee,Fashion & Retail
349,WOLFGANG HERZ,4.8,69.0,Germany,coffee,Fashion & Retail
349,BIDZINA IVANISHVILI,4.8,64.0,Georgia,investments,Finance & Investments
349,SAVITRI JINDAL & FAMILY,4.8,70.0,India,steel,Metals & Mining
349,PAULINE MACMILLAN KEINATH,4.8,86.0,United States,Cargill,Food & Beverage
349,ANDREI KOZITSYN,4.8,59.0,Russia,metals,Metals & Mining
349,FRANK LOWY,4.8,89.0,Australia,shopping malls,Real Estate
349,CARLOS ALBERTO SICUPIRA & FAMILY,4.8,72.0,Brazil,beer,Food & Beverage
349,FRANK WANG,4.8,39.0,China,drones,Technology
349,SAM ZELL,4.8,78.0,United States,"real estate, private equity",Real Estate
361,RENE BENKO,4.7,43.0,Austria,"real estate, retail",Real Estate
361,LAURENT DASSAULT,4.7,66.0,France,diversified,Diversified
361,OLIVIER DASSAULT,4.7,68.0,France,diversified,Diversified
361,THIERRY DASSAULT,4.7,63.0,France,diversified,Diversified
361,JIM DAVIS & FAMILY,4.7,76.0,United States,New Balance,Manufacturing
